final_section_id,origin,title,start_pdf_page,end_pdf_page,scope,auto_confidence,model_recommendation,human_decision,human_reason,human_evidence_note,reviewer,review_date,confirmation_status
SEC010,auto_candidate_human_verified,（五）2020 年9 月，股份公司第三次增资和第四次股权转让,63,65,core,high,keep,adjust,自动范围未覆盖第65页的变更后股权结构续表，人工调整为63-65；后续应将增资和多笔转让拆成不同事件包。,PDF第63页出现“2020年9月，股份公司第三次增资和第四次股权转让”；第64页列示10笔转让明细并开始变更后股权结构，第65页续完结构表后进入“对赌协议解除”。,lzr,2026-07-13,confirmed
SEC011,auto_candidate_human_verified,七、发行人主要股东及实际控制人的基本情况,79,91,reference,high,reference_only,adjust,该章节用于主体身份、持股及关联方核对，不是历史事件正文；自动结束页90漏掉第91页的章节收尾，人工调整为79-91。,PDF第79页出现“七、发行人主要股东及实际控制人的基本情况”，第80页起介绍控股股东，第81页起介绍其他5%以上股东；PDF第91页在介绍中科贵银后开始下一节“八、发行人股本情况”。,lzr,2026-07-13,confirmed
SEC012,auto_candidate_human_verified,（一）公司控股股东及实际控制人,80,80,reference,medium,reference_only,reference_only,用于核对控股股东身份和最终持股，不作为股本变化核心事件。,PDF第80页标题为“（一）公司控股股东及实际控制人”，披露曾烨直接持股33.03%、通过为赛咨询间接控制2.16%。,lzr,2026-07-13,confirmed
SEC013,auto_candidate_human_verified,（二）其他持有公司5%以上股份的主要股东,81,91,reference,high,reference_only,adjust,自动结束页90未覆盖第91页最后一名主要股东的收尾信息，人工调整为81-91。,PDF第81页出现“（二）其他持有公司5%以上股份的主要股东”，依次介绍刘云锋、力源信息、富海系和国科系等；第91页完成中科贵银信息后进入“八、发行人股本情况”。,lzr,2026-07-13,confirmed
SEC015,auto_candidate_human_verified,（一）本次发行前后的股本情况,91,93,core,high,keep,adjust,自动范围91-92漏掉第93页的表尾、发行股本和合计行，人工调整为91-93。,"PDF第91页出现“（一）本次发行前后的股本情况”，披露发行前总股本48,837,074股；股东明细表跨第92页并在第93页以发行前48,837,074股、发行后65,116,099股合计结束。",lzr,2026-07-13,confirmed
SEC014,auto_candidate_human_verified,八、发行人股本情况,91,98,reference,high,reference_only,reference_only,该记录是股本情况父级总括范围，保留为参考导航，核心快照优先使用SEC015和SEC016。,PDF第91页出现“八、发行人股本情况”，其下依次披露发行前后股本、前十名股东、自然人股东、国有及外资股份、关联关系和特殊类型股东；该部分延续至第98页。,lzr,2026-07-13,confirmed
SEC016,auto_candidate_human_verified,（二）发行前本公司前十名股东,93,93,core,high,keep,keep,该页是发行前股权结构快照的核心表格，自动范围准确。,"PDF第93页标题为“（二）发行前本公司前十名股东”，列示曾烨、刘云锋等前十名股东，合计持股39,656,020股、占81.20%。",lzr,2026-07-13,confirmed
SEC017,auto_candidate_human_verified,（三）本次发行前的前十名自然人股东及其在发行人处担任职务,93,94,reference,high,reference_only,adjust,自动范围仅含第93页，漏掉第94页续表，人工调整为93-94；该节主要用于自然人身份和任职核对。,PDF第93页出现“（三）本次发行前的前十名自然人股东及其在发行人处担任职务”，表格在第94页续列沈笑彦、衣嘉平并给出合计。,lzr,2026-07-13,confirmed
SEC018,auto_candidate_human_verified,（四）发行人股本中国有股份及外资股份情况,94,94,reference,high,reference_only,reference_only,用于核对股份性质和外资股东信息，作为辅助参考。,"PDF第94页标题为“（四）发行人股本中国有股份及外资股份情况”，披露深创投国有属性及CASREV FUND持股618,000股、占1.27%。",lzr,2026-07-13,confirmed
SEC019,auto_candidate_human_verified,（五）最近一年内新增股东的情况,94,94,reference,high,reference_only,reference_only,该节可用于核对新增股东范围，但不属于历史股本变化核心事件。,PDF第94页标题为“（五）最近一年内新增股东的情况”，正文明确披露截至招股说明书签署日不存在最近一年新增股东。,lzr,2026-07-13,confirmed
SEC020,auto_candidate_human_verified,（六）本次发行前各股东间的关联关系及关联股东的各自持股比例,94,95,reference,high,reference_only,adjust,自动范围仅含第94页，漏掉第95页关联关系续表，人工调整为94-95。,PDF第94页出现“（六）本次发行前各股东间的关联关系及关联股东的各自持股比例”，关联关系表延续至第95页，之后才进入“（七）特殊类型股东”。,lzr,2026-07-13,confirmed
